epoch,train_loss,train_lips,train_acc,valid_acc,valid_verified_1,valid_verified_2,valid_verified_3,valid_oracle,valid_oracle_replace-only,valid_ibp,valid_ibp_replace-only_1,valid_ibp_replace-only_2,valid_ibp_replace-only_3,valid_ibp_1,test_acc
0,952.2944580316544,1,0.6813166666666667,0.6723684210526316,0.3166833166833167,0.07992007992007992,0.011988011988011988,,,,,,,,0.6723684210526316
1,837.9512957930565,1,0.6718583333333333,0.6586842105263158,0.2817182817182817,0.06493506493506493,0.008991008991008992,,,,,,,,
2,814.2917141914368,1,0.6238166666666667,0.6147368421052631,0.35764235764235763,0.15284715284715283,0.04095904095904096,,,,,,,,
3,802.1602675318718,1,0.674625,0.6646052631578947,0.31868131868131866,0.12487512487512488,0.04295704295704296,,,,,,,,
4,791.876503765583,1,0.7007416666666667,0.6885526315789474,0.3706293706293706,0.14385614385614387,0.03896103896103896,,,,,,,,0.6885526315789474
5,789.6944119930267,1,0.7168083333333334,0.7082894736842106,0.35764235764235763,0.11588411588411589,0.023976023976023976,,,,,,,,0.7082894736842106
6,780.7860345244408,1,0.6794916666666667,0.6755263157894736,0.3166833166833167,0.0989010989010989,0.03296703296703297,,,,,,,,
7,778.5751107931137,1,0.722375,0.7186842105263158,0.34165834165834164,0.09090909090909091,0.025974025974025976,,,,,,,,0.7186842105263158
8,776.7736085057259,1,0.70545,0.6968421052631579,0.3516483516483517,0.1008991008991009,0.016983016983016984,,,,,,,,
9,771.0115795135498,1,0.71385,0.6985526315789473,0.34565434565434566,0.1028971028971029,0.026973026973026972,,,,,,,,
10,769.4778480529785,1,0.7031166666666666,0.6976315789473684,0.36863136863136864,0.13886113886113885,0.03896103896103896,,,,,,,,
11,766.8276319503784,1,0.6843,0.6825,0.36563436563436563,0.12887112887112886,0.03896103896103896,,,,,,,,
12,761.633111000061,1,0.727125,0.72,0.37462537462537465,0.12487512487512488,0.03496503496503497,,,,,,,,0.72
13,762.3540517091751,1,0.7142166666666667,0.7105263157894737,0.37162837162837165,0.12487512487512488,0.03596403596403597,,,,,,,,
14,762.1328505277634,1,0.7344166666666667,0.7265789473684211,0.36863136863136864,0.12187812187812187,0.024975024975024976,,,,,,,,0.7265789473684211
15,756.9062787294388,1,0.7241,0.7146052631578947,0.3866133866133866,0.13886113886113885,0.03496503496503497,,,,,,,,
16,754.5123012661934,1,0.7428666666666667,0.7328947368421053,0.36663336663336665,0.11688311688311688,0.025974025974025976,,,,,,,,0.7328947368421053
17,750.7115715742111,1,0.74195,0.7373684210526316,0.3756243756243756,0.13686313686313686,0.03596403596403597,,,,,,,,0.7373684210526316
18,747.759156703949,1,0.7229,0.7094736842105264,0.36363636363636365,0.10589410589410589,0.01998001998001998,,,,,,,,
19,746.7408102750778,1,0.7323583333333333,0.7261842105263158,0.36863136863136864,0.13186813186813187,0.03596403596403597,,,,,,,,
20,745.4460973143578,1,0.736625,0.7275,0.3876123876123876,0.13686313686313686,0.03896103896103896,,,,,,,,
21,741.5718560218811,1,0.7333,0.724078947368421,0.3916083916083916,0.14985014985014986,0.04395604395604396,,,,,,,,
22,739.1022173166275,1,0.7467666666666667,0.7369736842105263,0.37962037962037964,0.13286713286713286,0.03596403596403597,,,,,,,,
23,738.0768871307373,1,0.7451916666666667,0.7378947368421053,0.37662337662337664,0.12987012987012986,0.03696303696303696,,,,,,,,0.7378947368421053
24,735.8856363296509,1,0.7438833333333333,0.7361842105263158,0.37962037962037964,0.12787212787212787,0.03296703296703297,,,,,,,,
25,734.6701531410217,1,0.7449916666666667,0.7364473684210526,0.3926073926073926,0.14285714285714285,0.03896103896103896,,,,,,,,
26,733.3980640172958,1,0.7454833333333334,0.7373684210526316,0.3856143856143856,0.14385614385614387,0.03796203796203796,,,,,,,,
27,731.406810760498,1,0.74465,0.7344736842105263,0.3916083916083916,0.14685314685314685,0.04095904095904096,,,,,,,,
28,729.5622935295105,1,0.748,0.7388157894736842,0.3836163836163836,0.13486513486513488,0.03296703296703297,,,,,,,,0.7388157894736842
29,728.4749507904053,1,0.7471416666666667,0.736578947368421,0.3836163836163836,0.13886113886113885,0.03796203796203796,,,,,,,,
